id;planner algo;agents num;steps num;num task finished;throughput;avg step time
0;pibt;1000;5000;10242;2,0484;3
1;pibt;2000;5000;11310;2,262;8
2;pibt;3000;5000;11868;2,3736;17
3;pibt;4000;5000;12221;2,4442;32
4;pibt;5000;5000;12741;2,5482;45
5;pibt;6000;5000;12781;2,5562;66
6;pibt;7000;5000;12781;2,5562;76
7;pibt;8000;5000;12719;2,5438;102
8;pibt;9000;5000;12653;2,5306;129
9;pibt;10000;5000;12616;2,5232;167
0;pibt_tf;1000;5000;9100;1,82;968
1;pibt_tf;2000;5000;9479;1,8958;966
2;pibt_tf;3000;5000;9811;1,9622;966
3;pibt_tf;4000;5000;10124;2,0248;968
4;pibt_tf;5000;5000;10063;2,0126;970
5;pibt_tf;6000;5000;10632;2,1264;972
6;pibt_tf;7000;5000;11349;2,2698;973
7;pibt_tf;8000;5000;11772;2,3544;975
8;pibt_tf;9000;5000;12040;2,408;976
9;pibt_tf;10000;5000;12358;2,4716;977
0;epibt;1000;5000;10602;2,1204;5
1;epibt;2000;5000;14488;2,8976;15
2;epibt;3000;5000;14664;2,9328;60
3;epibt;4000;5000;15327;3,0654;84
4;epibt;5000;5000;15767;3,1534;139
5;epibt;6000;5000;16841;3,3682;196
6;epibt;7000;5000;17527;3,5054;271
7;epibt;8000;5000;18086;3,6172;329
8;epibt;9000;5000;18269;3,6538;431
9;epibt;10000;5000;18625;3,725;536
0;epibt_lns;1000;5000;8089;1,6178;950
1;epibt_lns;2000;5000;18444;3,6888;950
2;epibt_lns;3000;5000;13180;2,636;950
3;epibt_lns;4000;5000;12175;2,435;951
4;epibt_lns;5000;5000;13741;2,7482;951
5;epibt_lns;6000;5000;13100;2,62;951
6;epibt_lns;7000;5000;13231;2,6462;951
7;epibt_lns;8000;5000;13569;2,7138;952
8;epibt_lns;9000;5000;13939;2,7878;952
9;epibt_lns;10000;5000;14301;2,8602;952
0;pepibt_lns;1000;5000;10729;2,1458;951
1;pepibt_lns;2000;5000;21300;4,26;953
2;pepibt_lns;3000;5000;29795;5,959;953
3;pepibt_lns;4000;5000;17974;3,5948;954
4;pepibt_lns;5000;5000;16283;3,2566;955
5;pepibt_lns;6000;5000;17796;3,5592;956
6;pepibt_lns;7000;5000;17183;3,4366;956
7;pepibt_lns;8000;5000;16788;3,3576;956
8;pepibt_lns;9000;5000;17114;3,4228;966
9;pepibt_lns;10000;5000;17574;3,5148;968
0;wppl;1000;5000;10620;2,124;962
1;wppl;2000;5000;21291;4,2582;962
2;wppl;3000;5000;15150;3,03;961
3;wppl;4000;5000;15009;3,0018;961
4;wppl;5000;5000;15449;3,0898;961
5;wppl;6000;5000;14863;2,9726;961
6;wppl;7000;5000;14927;2,9854;962
7;wppl;8000;5000;16256;3,2512;962
8;wppl;9000;5000;16145;3,229;962
9;wppl;10000;5000;16246;3,2492;962
