id;planner algo;agents num;steps num;num task finished;throughput;avg step time
0;pibt;1000;5000;19205;3,841;3
1;pibt;2000;5000;38453;7,6906;7
2;pibt;3000;5000;57203;11,4406;11
3;pibt;4000;5000;75176;15,0352;16
4;pibt;5000;5000;91302;18,2604;21
5;pibt;6000;5000;83162;16,6324;27
6;pibt;7000;5000;72215;14,443;34
7;pibt;8000;5000;72430;14,486;40
8;pibt;9000;5000;57126;11,4252;46
9;pibt;10000;5000;52147;10,4294;55
0;pibt_tf;1000;5000;18280;3,656;959
1;pibt_tf;2000;5000;36830;7,366;959
2;pibt_tf;3000;5000;54183;10,8366;960
3;pibt_tf;4000;5000;71646;14,3292;961
4;pibt_tf;5000;5000;87461;17,4922;961
5;pibt_tf;6000;5000;102974;20,5948;962
6;pibt_tf;7000;5000;111514;22,3028;963
7;pibt_tf;8000;5000;115956;23,1912;963
8;pibt_tf;9000;5000;102791;20,5582;964
9;pibt_tf;10000;5000;97925;19,585;965
0;epibt;1000;5000;19365;3,873;6
1;epibt;2000;5000;38781;7,7562;11
2;epibt;3000;5000;57887;11,5774;17
3;epibt;4000;5000;76742;15,3484;24
4;epibt;5000;5000;94958;18,9916;32
5;epibt;6000;5000;112505;22,501;41
6;epibt;7000;5000;128372;25,6744;50
7;epibt;8000;5000;141436;28,2872;63
8;epibt;9000;5000;111648;22,3296;357
9;epibt;10000;5000;104409;20,8818;526
0;epibt_lns;1000;5000;19492;3,8984;950
1;epibt_lns;2000;5000;39216;7,8432;950
2;epibt_lns;3000;5000;58789;11,7578;950
3;epibt_lns;4000;5000;78458;15,6916;950
4;epibt_lns;5000;5000;97746;19,5492;950
5;epibt_lns;6000;5000;116958;23,3916;951
6;epibt_lns;7000;5000;135749;27,1498;951
7;epibt_lns;8000;5000;154201;30,8402;951
8;epibt_lns;9000;5000;172482;34,4964;951
9;epibt_lns;10000;5000;189942;37,9884;951
0;pepibt_lns;1000;5000;19478;3,8956;953
1;pepibt_lns;2000;5000;39176;7,8352;957
2;pepibt_lns;3000;5000;58793;11,7586;960
3;pepibt_lns;4000;5000;78479;15,6958;963
4;pepibt_lns;5000;5000;97781;19,5562;966
5;pepibt_lns;6000;5000;116931;23,3862;969
6;pepibt_lns;7000;5000;135795;27,159;972
7;pepibt_lns;8000;5000;154191;30,8382;975
8;pepibt_lns;9000;5000;172432;34,4864;978
9;pepibt_lns;10000;5000;189993;37,9986;980
0;wppl;1000;5000;18443;3,6886;955
1;wppl;2000;5000;36748;7,3496;956
2;wppl;3000;5000;54848;10,9696;956
3;wppl;4000;5000;72725;14,545;957
4;wppl;5000;5000;90067;18,0134;958
5;wppl;6000;5000;107385;21,477;958
6;wppl;7000;5000;123650;24,73;959
7;wppl;8000;5000;140397;28,0794;959
8;wppl;9000;5000;154293;30,8586;959
9;wppl;10000;5000;166797;33,3594;959
